Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
keycloak-config-cli,(default package),MavenWrapperDownloader,main,Empty catch clause,The method has an empty catch block.,48
keycloak-config-cli,(default package),MavenWrapperDownloader,main,Long Identifier,The length of the identifier mavenWrapperPropertyFileInputStream is 35.,48
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getAccessTokenLifespanForImplicitFlow,Long Identifier,The length of the field accessTokenLifespanForImplicitFlow is 34.,310
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setAccessTokenLifespanForImplicitFlow,Long Identifier,The length of the parameter accessTokenLifespanForImplicitFlow is 34.,314
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setAccessTokenLifespanForImplicitFlow,Long Identifier,The length of the field accessTokenLifespanForImplicitFlow is 34.,314
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getSsoSessionMaxLifespanRememberMe,Long Identifier,The length of the field ssoSessionMaxLifespanRememberMe is 31.,334
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setSsoSessionMaxLifespanRememberMe,Long Identifier,The length of the parameter ssoSessionMaxLifespanRememberMe is 31.,338
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setSsoSessionMaxLifespanRememberMe,Long Identifier,The length of the field ssoSessionMaxLifespanRememberMe is 31.,338
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getSsoSessionIdleTimeoutRememberMe,Long Identifier,The length of the field ssoSessionIdleTimeoutRememberMe is 31.,342
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setSsoSessionIdleTimeoutRememberMe,Long Identifier,The length of the parameter ssoSessionIdleTimeoutRememberMe is 31.,346
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setSsoSessionIdleTimeoutRememberMe,Long Identifier,The length of the field ssoSessionIdleTimeoutRememberMe is 31.,346
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getOfflineSessionMaxLifespanEnabled,Long Identifier,The length of the field offlineSessionMaxLifespanEnabled is 32.,359
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setOfflineSessionMaxLifespanEnabled,Long Identifier,The length of the parameter offlineSessionMaxLifespanEnabled is 32.,363
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setOfflineSessionMaxLifespanEnabled,Long Identifier,The length of the field offlineSessionMaxLifespanEnabled is 32.,363
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getClientOfflineSessionIdleTimeout,Long Identifier,The length of the field clientOfflineSessionIdleTimeout is 31.,391
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setClientOfflineSessionIdleTimeout,Long Identifier,The length of the parameter clientOfflineSessionIdleTimeout is 31.,395
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setClientOfflineSessionIdleTimeout,Long Identifier,The length of the field clientOfflineSessionIdleTimeout is 31.,395
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getClientOfflineSessionMaxLifespan,Long Identifier,The length of the field clientOfflineSessionMaxLifespan is 31.,399
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setClientOfflineSessionMaxLifespan,Long Identifier,The length of the parameter clientOfflineSessionMaxLifespan is 31.,403
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setClientOfflineSessionMaxLifespan,Long Identifier,The length of the field clientOfflineSessionMaxLifespan is 31.,403
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getActionTokenGeneratedByAdminLifespan,Long Identifier,The length of the field actionTokenGeneratedByAdminLifespan is 35.,468
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setActionTokenGeneratedByAdminLifespan,Long Identifier,The length of the parameter actionTokenGeneratedByAdminLifespan is 35.,472
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setActionTokenGeneratedByAdminLifespan,Long Identifier,The length of the field actionTokenGeneratedByAdminLifespan is 35.,472
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,getActionTokenGeneratedByUserLifespan,Long Identifier,The length of the field actionTokenGeneratedByUserLifespan is 34.,476
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setActionTokenGeneratedByUserLifespan,Long Identifier,The length of the parameter actionTokenGeneratedByUserLifespan is 34.,480
keycloak-config-cli,org.keycloak.representations.idm,RealmRepresentation,setActionTokenGeneratedByUserLifespan,Long Identifier,The length of the field actionTokenGeneratedByUserLifespan is 34.,480
